Date : 2024-04-23 21:07:09
Directory : c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF
Total : 79 files,  3843 codes, 666 comments, 787 blanks, all 5296 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Source.h                      | C++      |         15 |         28 |         10 |         53 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Switch.cpp                    | C++      |         18 |          0 |          4 |         22 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Switch.h                      | C++      |         16 |         29 |         10 |         55 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\Menu.cpp                     | C++      |        122 |          0 |         15 |        137 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\Menu.h                       | C++      |         23 |          0 |          5 |         28 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\UnitTest.cpp                 | C++      |         45 |          0 |         12 |         57 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\gtest_lite.h                 | C++      |        269 |        121 |         72 |        462 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\memtrace.cpp                 | C++      |        438 |         42 |         66 |        546 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\memtrace.h                   | C++      |        163 |         34 |         43 |        240 |
| Total                                                                                    |          |      3,843 |        666 |        787 |      5,296 |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
